board_certs,doctor,doctor_type,education,gender,individual_rating,languages,npi,overall_patient_ratings,overall_rating,practice,street_address,city_state,zoc_awards
,Dr. Finny George,,,,,,,,,,,,
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Rupal Bhingradia,,,,,,,,,,,,
,Dr. Caitlin Victoria Anderson,,,,,,,,,,,,
,Dr. Jonathan Zipkin,,,,,,,,,,,,
,Dr. Maria Sequeira,,,,,,,,,,,,
,"Dr. Leon Scrimmager, MD",Primary Care Doctor,"Medical School - Rutgers, The State University of New Jersey, Doctor of Medicine",Male,,English,1215020474,"4.5,4,4.5",4.5,Upper East Side Internal Medicine,"470 Lenox Ave,, ,Suite 1P,150 Broadway,, ,Suite 1115,800 2nd Ave,, ,Corner of 42nd Street, 9th Floor","New York,NY,10037,New York,NY,10038,New York,NY,10017","icon-see-you-again,icon-rapid-registration"
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Jeffrey Buckner, MD","Hematologist, Primary Care Doctor","Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center, Fellowship in Hematology and Oncology,New York University Langone Medical Center, Residency in Internal Medicine",Male,,English,1104840495,"4.5,4.5,5",4.5,"Jeffrey Buckner, MD","274 Madison Ave,, ,suite 602","New York,NY,10016",icon-see-you-again
,Dr. Jeffrey Buckner,,,,,,,,,,,,
,Dr. Maria Sequeira,,,,,,,,,,,,
,Dr. Mindy Satsky,,,,,,,,,,,,
,Dr. Robert Korn,,,,,,,,,,,,
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Jeffrey Buckner, MD","Hematologist, Primary Care Doctor","Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center, Fellowship in Hematology and Oncology,New York University Langone Medical Center, Residency in Internal Medicine",Male,,English,1104840495,"4.5,4.5,5",4.5,"Jeffrey Buckner, MD","274 Madison Ave,, ,suite 602","New York,NY,10016",icon-see-you-again
,"Dr. Zhicheng Lu, DO","Urgent Care Specialist, Emergency Medicine Physician","Medical School - New York Institute of Technology, New York College of Osteopathic Medicine, Doctor of Osteopathic Medicine",Male,,English,1275591729,"5,4.5,5",5,GoHealth Urgent Care,"58-28 99th Street,41 East 8th Street,365 Flatbush Avenue,102-29 Queens Boulevard,2640 Merrick Road,, ,Suite BC,41-19 Bell Boulevard,50 East Jericho Turnpike,55-05 Myrtle Avenue,1445 Richmond Ave,, ,Store E,4316 Amboy Rd","Corona,NY,11368,New York,NY,10003,Brooklyn,NY,11238,Forest Hills,NY,11375,Bellmore,NY,11710,Bayside,NY,11361,Mineola,NY,11501,Ridgewood,NY,11385,Staten Island,NY,10314,Staten Island,NY,10312","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Osteopathic Board of Family Physicians,"Dr. Oleg Olshanetskiy, DO",Urgent Care Specialist,"Medical School - New York Institute of Technology, New York College of Osteopathic Medicine, Old Westbury,Mount Sinai Health System, St. John's Episcopal Hospital, Residency in Family Medicine,Odessa National Medical University, Doctor in Medicine",Male,,"English,Russian,Ukrainian",1861580201,"4,4.5,4",4,New York Doctors Walk-In Urgent Care,"205 Lexington Avenue,65 West 13th Street","New York,NY,10016,New York,NY,10011",icon-speedy-response
,Dr. Jeffrey Buckner,,,,,,,,,,,,
,Dr. Alexander Druif,,,,,,,,,,,,
,Dr. Jessica Levatino,,,,,,,,,,,,
"Hoboken University Medical Center,Jersey City Medical Center","Dr. Manish Luhana, MD","Internist, Primary Care Doctor","Medical School - Ross University School of Medicine, Doctor of Medicine,Muhlenberg Regional Medical Center (Internship),Muhlenberg Regional Medical Center, Residency in Internal Medicine",Male,,"English,Guarani,Hindi,Sindhi",1558347641,"4.5,4,3.5",4.5,"Manish Luhana, MD","610 Washington Blvd.,239 Baldwin Rd,, ,108","Jersey City,NJ,07310,Parsippany,NJ,07054",icon-see-you-again
,Dr. Jeffrey Buckner,,,,,,,,,,,,
"Hackensack University Medical Center,New York-Presbyterian Hospital / Weill Cornell Medical Center,The Mount Sinai Hospital,The New York Eye and Ear Infirmary","Dr. Ulysses Scarpidis, MD",Plastic Surgeon,"Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine",Male,,English,1205004603,"5,5,5",5,Scarpidis Aesthetics - New York Plastic Surgery,"200 W 57th St,, ,Suite 508","New York,NY,10019","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
"Hackensack University Medical Center,New York-Presbyterian Hospital / Weill Cornell Medical Center,The Mount Sinai Hospital,The New York Eye and Ear Infirmary","Dr. Ulysses Scarpidis, MD",Plastic Surgeon,"Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine",Male,,English,1205004603,"5,5,5",5,Scarpidis Aesthetics - New York Plastic Surgery,"200 W 57th St,, ,Suite 508","New York,NY,10019","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
"Saint Francis Hospital,South Nassau Communities Hospital,St. Joseph Hospital,Flushing Hospital Medical Center,New York Hospital Queens,Winthrop-University Hospital","Dr. Finny George, MD",Plastic Surgeon,"Medical School - State University of New York, Upstate Medical University, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center (Fellowship),Montefiore Medical Center, Albert Einstein College of Medicine of Yeshiva University, Residency in Plastic Surgery,New York Medical College (Residency)",Male,,English,1033477377,"5,4.5,5",5,Long Island Plastic Surgical Group,"999 Franklin Avenue,1111 Park Avenue,2200 Northern Blvd,, ,Suite 201,330 9th Street","Garden City,NY,11530,New York,NY,10128,Greenvale,NY,11548,Brooklyn,NY,11215","icon-see-you-again,icon-rapid-registration"
"Saint Francis Hospital,South Nassau Communities Hospital,St. Joseph Hospital,Flushing Hospital Medical Center,New York Hospital Queens,Winthrop-University Hospital","Dr. Finny George, MD",Plastic Surgeon,"Medical School - State University of New York, Upstate Medical University, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center (Fellowship),Montefiore Medical Center, Albert Einstein College of Medicine of Yeshiva University, Residency in Plastic Surgery,New York Medical College (Residency)",Male,,English,1033477377,"5,4.5,5",5,Long Island Plastic Surgical Group,"999 Franklin Avenue,1111 Park Avenue,2200 Northern Blvd,, ,Suite 201,330 9th Street","Garden City,NY,11530,New York,NY,10128,Greenvale,NY,11548,Brooklyn,NY,11215","icon-see-you-again,icon-rapid-registration"
"Hackensack University Medical Center,New York-Presbyterian Hospital / Weill Cornell Medical Center,The Mount Sinai Hospital,The New York Eye and Ear Infirmary","Dr. Ulysses Scarpidis, MD",Plastic Surgeon,"Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine",Male,,English,1205004603,"5,5,5",5,Scarpidis Aesthetics - New York Plastic Surgery,"200 W 57th St,, ,Suite 508","New York,NY,10019","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Finny George,,,,,,,,,,,,
,Dr. Ulysses Scarpidis,,,,,,,,,,,,
"Nassau University Medical Center,St. Francis Hospital,South Nassau Communities Hospital,Flushing Hospital Medical Center,New York Hospital Queens,Mercy Medical Center,Winthrop-University Hospital","Dr. Jerry Chang, MD","Breast Surgeon, Plastic Surgeon","Medical School - Washington University, St. Louis, Doctor of Medicine,Yale University, Residency in Plastic and Reconstructive Surgery",Male,,"Chinese (Mandarin),English",1518136027,"5,4.5,5",5,Long Island Plastic Surgical Group,"999 Franklin Avenue,1111 Park Avenue,136-20 38th Ave,, ,Suite 5E","Garden City,NY,11530,New York,NY,10128,Flushing,NY,11354","icon-see-you-again,icon-rapid-registration"
,Dr. Kaveh Alizadeh,,,,,,,,,,,,
,"Dr. Thao Dung, OD",Optometrist,"New England College of Optometry, Doctor of Optometry",Female,,English,1558438101,"4.5,4.5,4.5",4.5,Cohen's Fashion Optical,"825 Broadway,2933 Broadway,630 Old Country Road,, ,Ground Floor","New York,NY,10003,New York,NY,10025,Garden City,NY,11530","icon-rapid-registration,icon-speedy-response"
,Dr. Robert Moraru,,,,,,,,,,,,
,Dr. Amy Spizuoco,,,,,,,,,,,,
,Dr. Vivek Mehta,,,,,,,,,,,,
American Osteopathic Board of Dermatology,"Dr. Amy Spizuoco, DO",Dermatologist,"Alta Dermatology Group, Residency in Dermatology,Ackerman Academy, Fellowship in Dermatopathology,Lutheran Medical Center (Internship),Alta Dermatology Group (Fellowship),Medical School - New York Institute of Technology, New York College of Osteopathic Medicine, Doctor of Osteopathic Medicine",Female,,English,1285952515,"4.5,4.5,4.5",4.5,"Bobby Buka, MD P.C. Dermatology NYC","135 West 70th Street,214 Sullivan Street,614 Eastern Parkway,10-41 47th Ave,247 East 28th Street,220 Front Street,152 Broadway","New York,NY,10023,New York,NY,10012,Brooklyn,NY,11225,Long Island City,NY,11101,New York,NY,10016,New York,NY,10038,Brooklyn,NY,11211","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Jian James Cui,,,,,,,,,,,,
,Dr. Navin Arora,,,,,,,,,,,,
The Mount Sinai Hospital,"Dr. Michael Romano, MD",Dermatologist,"Medical School - University of Massachusetts, Doctor of Medicine,University of Vermont, Fellowship in Dermatology",Male,,English,1639412109,"5,4.5,5",5,Vanguard Dermatology,"115 Broadway,, ,Suite 404,715 Manhattan Avenue,2148 Ocean Avenue,, ,5th Floor","New York,NY,10006,Brooklyn,NY,11222,Brooklyn,NY,11229","icon-see-you-again,icon-rapid-registration"
The Mount Sinai Hospital,"Dr. Huachen Wei, MD, PhD",Dermatologist,"Medical School - Shandong University of Traditional Chinese Medicine,Mount Sinai Medical Center, Residency in Dermatology,New York University  Medical Center, PhD in Biochemistry and Environmental Oncology",Male,,"Chinese (Mandarin),English",1235167313,"3.5,3.5,3.5",3.5,Dr WW Medical Spa and Laser Center,"139 Centre St,, ,224,136-21 Franklin Ave,, ,3B,414 E. 59th St,85-16 Queens Blvd,849 57th St,, ,6th floor","New York,NY,10013,Flushing,NY,11355,New York,NY,10022,Elmhurst,NY,11373,Brooklyn,NY,11220","icon-speedy-response,icon-scheduling-hero"
,"Christina Smitley, FNP","Family Nurse Practitioner, Nurse Practitioner","Adventist University of Health Sciences (Associate’s),Frontier Nursing University, Master’s in Family Nursing,University of Florida, Gainesville (Bachelor’s)",Female,,English,1861808172,"5,4,5",5,Advanced Dermatology PC,"24 Prospect Park West,5 Harrison Street,142 Joralemon St,, ,Suite 4B,27-47 Crescent Street,, ,#206,57 W 57th St,, ,Suite 706,211 Central Park West,, ,Suite 1D,58-47 188th Street","Brooklyn,NY,11215,New York,NY,10013,Brooklyn,NY,11201,Astoria,NY,11102,New York,NY,10019,New York,NY,10024,Fresh Meadows,NY,11365",icon-see-you-again
American Board of Dermatology,"Dr. Ross Radusky, MD",Dermatologist,"Medical School - New York University, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center, Residency in Dermatology,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in Dermatology",Male,,English,1508209206,"5,5,5",5,Soho Skin & Laser Dermatology,"197 Grand Street,, ,Suite 3E","New York,NY,10013","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Board of Dermatology,"Dr. Jesleen Ahluwalia, MD",Dermatologist,"Medical School - University of Toledo, Doctor of Medicine,Wayne State University, Residency in Dermatology",Female,,English,1982816302,"5,5,5",5,Spring Street Dermatology,"95 Chambers Street,73 Spring Street,, ,Suite 303","New York,NY,10007,New York,NY,10012","icon-see-you-again,icon-rapid-registration"
,Dr. Alexander Kimon,,,,,,,,,,,,
,"Dr. D. Timothy Culotta, DDS","Dentist, Cosmetic Dentist","Dental School - Louisiana State University, Doctor of Dental Surgery",Male,,"English,French,Spanish",1356511943,"5,5,5",5,Village Dental Medicine,"401 6th Avenue,, ,2nd Floor","New York,NY,10014","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Richard Mizuguchi,,,,,,,,,,,,
,Dr. Jordan Reich,,,,,,,,,,,,
,Dr. Bradford Katchen,,,,,,,,,,,,
The Mount Sinai Hospital,"Dr. Natalie Moulton-Levy, MD",Dermatologist,"Medical School - Thomas Jefferson University,Mount Sinai Hospital, Residency in Dermatology",Female,,English,1467610683,"5,4.5,4.5",5,Natalie Moulton-Levy,"64 Wooster Street,, ,5E","New York,NY,10012","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Elizabeth Goldberg,,,,,,,,,,,,
The Mount Sinai Hospital,"Dr. Robert L. Buka, MD, JD",Dermatologist,"Rady Children's Hospital, San Diego, Fellowship in Pediatric Dermatology,University of California, San Diego, Residency in Dermatology,St. Vincent's Hospital, Manhattan, Internship in Internal Medicine,Fordham University, Juris Doctor,Medical School - Northwestern University, Doctor of Medicine",Male,,"Chinese (Cantonese),Chinese (Mandarin),English,Spanish",1427029180,"4.5,4,4.5",4.5,"Bobby Buka, MD P.C. Dermatology NYC","135 West 70th Street,214 Sullivan Street,614 Eastern Parkway,10-41 47th Ave,247 East 28th Street,220 Front Street,152 Broadway","New York,NY,10023,New York,NY,10012,Brooklyn,NY,11225,Long Island City,NY,11101,New York,NY,10016,New York,NY,10038,Brooklyn,NY,11211","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Jeanyoung Kim,,,,,,,,,,,,
,"Dr. Whitney Tan, MD",Dermatologist,"Columbia University, Residency in Dermatology,Medical School - University of Miami, Doctor of Medicine",Female,,English,1922394303,"5,4.5,5",5,Tribeca Park Dermatology,32 Ericsson Place,"New York,NY,10013",icon-see-you-again
,Dr. Erin Kil,,,,,,,,,,,,
,Dr. D. Timothy Culotta,,,,,,,,,,,,
,Dr. Majid Jamali,,,,,,,,,,,,
The Mount Sinai Hospital,"Dr. Sapna Palep, MD",Dermatologist,"Medical School - New York Medical College, Doctor of Medicine,The Mount Sinai Hospital, Residency in Dermatology",Female,,"English,Spanish,Telugu",1104084334,"5,4.5,5",5,Spring Street Dermatology,"95 Chambers Street,73 Spring Street,, ,Suite 303","New York,NY,10007,New York,NY,10012","icon-see-you-again,icon-rapid-registration"
"Beth Israel Medical Center - Petrie Division,Saint Luke's-Roosevelt Hospital Center","Dr. Maryann Mikhail, MD",Dermatologist,"Medical School - New York University, Doctor of Medicine,St. Luke's Roosevelt and Beth Israel Medical Center, Residency in Dermatology",Female,,"Arabic,English,Spanish",1437301645,"5,4.5,5",5,Spring Street Dermatology,"95 Chambers Street,73 Spring Street,, ,Suite 303","New York,NY,10007,New York,NY,10012","icon-see-you-again,icon-rapid-registration"
,"Susannah Kerwin, NP","Adult Nurse Practitioner, Nurse Practitioner","New York University, Master's in Nursing",Female,,English,1609183342,"5,5,5",5,"Barry Cohen, MD","73 Spring St.,, ,Suite 204","New York,NY,10012","icon-see-you-again,icon-speedy-response"
,"Dr. Anne Korkis, DDS","Dentist, Cosmetic Dentist, Dental Pain Specialist","Dental School - New York University, Doctor of Dental Surgery,NewYork-Presbyterian Brooklyn Methodist Hospital, Residency in General Practice",Female,,English,1134673122,"5,4.5,5",5,Advanced Dental Arts,"55 East 9th St,, ,1K","New York,NY,10003","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Dina Gad,,,,,,,,,,,,
American Board of Dermatology,"Dr. Rita Linkner, MD",Dermatologist,"Icahn School of Medicine at Mount Sinai, Fellowship in Dermatology,Icahn School of Medicine at Mount Sinai, Residency in Dermatology,Medical School - University of Miami, Doctor of Medicine",Female,,English,1295057578,"5,4.5,5",5,Spring Street Dermatology,"73 Spring Street,, ,Suite 303","New York,NY,10012","icon-see-you-again,icon-rapid-registration"
,Dr. Jesleen Ahluwalia,,,,,,,,,,,,
,Dr. Kate Brayman,,,,,,,,,,,,
,Dr. D. Timothy Culotta,,,,,,,,,,,,
,Dr. Robert L. Buka,,,,,,,,,,,,
,Ashton Frulla,,,,,,,,,,,,
American Board of Dermatology,"Dr. Alison Gruen, MD",Dermatologist,"Medical School - Yale University, Doctor of Medicine,State University of New York, Downstate Medical Center, Residency in Dermatology",Female,,English,1518982412,"4.5,4.5,4.5",4.5,"Bobby Buka, MD P.C. Dermatology NYC","135 West 70th Street,214 Sullivan Street,614 Eastern Parkway,10-41 47th Ave,247 East 28th Street,220 Front Street,152 Broadway","New York,NY,10023,New York,NY,10012,Brooklyn,NY,11225,Long Island City,NY,11101,New York,NY,10016,New York,NY,10038,Brooklyn,NY,11211","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
The New York Eye and Ear Infirmary,"Dr. Albert Joseph Rudick, MD",Ophthalmologist,"Manhattan Eye, Ear and Throat Hospital, Residency in Ophthalmology,Medical School - University of Pennsylvania, Doctor of Medicine",Male,,"English,Spanish",1457400913,"4.5,4.5,4.5",4.5,Associate Opthalmologists,"150 Broadway,, ,Suite1401,305 East 40th Street,, ,Suite 1A","New York,NY,10038,New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Eva Galstian,,,,,,,,,,,,
,Dr. Shari Marchbein,,,,,,,,,,,,
,Dr. Hampson A. Sisler,,,,,,,,,,,,
,Dr. Sherwin Parikh,,,,,,,,,,,,
American Osteopathic Board of Dermatology,"Dr. Angela Leo, DO",Dermatologist,"Medical School - Rowan University, Doctor of Osteopathic Medicine,Philadelphia College of Osteopathic Medicine, Frankford Hospitals Jefferson Health System, Residency in Dermatology",Female,,English,1003084138,"5,4.5,5",5,Tribeca Skin Center,"315 Church St,, ,2nd Floor","New York,NY,10013","icon-see-you-again,icon-speedy-response"
,"Dr. D. Timothy Culotta, DDS","Dentist, Cosmetic Dentist","Dental School - Louisiana State University, Doctor of Dental Surgery",Male,,"English,French,Spanish",1356511943,"5,5,5",5,Village Dental Medicine,"401 6th Avenue,, ,2nd Floor","New York,NY,10014","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
American Board of Dermatology,"Dr. Nadia Kihiczak, MD",Dermatologist,"Columbia University (Bachelor’s),Medical School - Rutgers, The State University of New Jersey, Doctor of Medicine,Rutgers, The State University of New Jersey, Residency in Dermatology,Saint Barnabas Medical Center (Internship)",Female,,English,1568568889,"5,4.5,5",5,Ingleton Dermatology,"14 East 4th Street,, ,Suite 505","New York,NY,10012","icon-see-you-again,icon-rapid-registration"
,"Dr. Olga Malkin, DMD, FICOI","Prosthodontist, Dentist","Dental School - University of Pittsburgh, Doctor of Dental Medicine,University of California, Los Angeles, West Los Angeles Medical Center, Residency in Prosthodontics",Female,,"English,Russian",1518140144,"5,4.5,5",5,Dr. Olga Malkin D.M.D.,"23 Warren St,, ,#10 (Lower Level, L2)","New York,NY,10007","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,"Dr. D. Timothy Culotta, DDS","Dentist, Cosmetic Dentist","Dental School - Louisiana State University, Doctor of Dental Surgery",Male,,"English,French,Spanish",1356511943,"5,5,5",5,Village Dental Medicine,"401 6th Avenue,, ,2nd Floor","New York,NY,10014","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Jason Siefferman,,,,,,,,,,,,
,Dr. Scott Hammerman,,,,,,,,,,,,
,Dr. John Adams,,,,,,,,,,,,
,"Dr. Steven Weinstein, DMD",Dentist,"Dental School - University of Pennsylvania, Doctor of Dental Medicine,Long Island College Hospital, Residency in General Practice",Male,,English,1578793295,"5,5,5",5,Advanced Dental Arts,"55 East 9th St,, ,1K","New York,NY,10003","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,"Ashton Frulla, NP",Nurse Practitioner,"Skidmore College (Health and Exercise Sciences),Yale University, Master's in Nursing",Male,,English,1235657560,"5,4.5,5",5,"Bobby Buka, MD P.C. Dermatology NYC","135 West 70th Street,214 Sullivan Street,614 Eastern Parkway,10-41 47th Ave,247 East 28th Street,220 Front Street,152 Broadway","New York,NY,10023,New York,NY,10012,Brooklyn,NY,11225,Long Island City,NY,11101,New York,NY,10016,New York,NY,10038,Brooklyn,NY,11211","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"American Board of Plastic Surgery,American Board of Surgery","Dr. Peter Taub, MD",Plastic Surgeon,"Icahn School of Medicine at Mount Sinai, Residency in General Surgery,Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine,UCLA Medical Center, Fellowship in Craniofacial Surgery,UCLA Medical Center, Residency in Plastic and Reconstructive Surgery",Male,,English,1679540033,"4.5,4.5,5",4.5,"Bobby Buka, MD P.C. Dermatology NYC","214 Sullivan Street,10-41 47th Ave,247 East 28th Street","New York,NY,10012,Long Island City,NY,11101,New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Alison Gruen,,,,,,,,,,,,
,"Dr. Anna Karp, DO",Dermatologist,"Medical School - The Touro College and University System, New York, Doctor of Medicine,Saint John's Episcopal Hospital, Residency in Dermatology,Saint John's Episcopal Hospital, Residency in Internal Medicine",Female,,English,1487942223,"4.5,4.5,4.5",4.5,The Skin Institute of New York,"67 Perry Street,7901 Fourth Avenue","New York,NY,10014,Brooklyn,NY,11209","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Board of Dental Public Health,"Dr. Todd Bertman, DMD","Dentist, Cosmetic Dentist, Dental Pain Specialist","Dental School - University of Pittsburgh, Doctor of Dental Medicine,Kings County Hospital Center, Residency in General Practice",Male,,"English,Korean,Russian,Spanish",1144438102,"5,5,5",5,Advanced Dental Arts,"55 East 9th St,, ,1K","New York,NY,10003","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,"Dr. D. Timothy Culotta, DDS","Dentist, Cosmetic Dentist","Dental School - Louisiana State University, Doctor of Dental Surgery",Male,,"English,French,Spanish",1356511943,"5,5,5",5,Village Dental Medicine,"401 6th Avenue,, ,2nd Floor","New York,NY,10014","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Finny George,,,,,,,,,,,,
,"Dr. Sachin Shridharani, MD","Plastic Surgeon, Aesthetic Surgeon","Johns Hopkins University, Residency in Plastic and Reconstructive Surgery,Manhattan Eye, Ear and Throat Hospital, Fellowship in Aesthetic Plastic Surgery,Medical School - University of Missouri, Kansas City, Doctor of Medicine",Male,,"English,Gujarati,Spanish",1174679807,"5,5,5",5,LUXURGERY,"880 5th Avenue,, ,1B/C/D","New York,NY,10021","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Luis Cenedese,,,,,,,,,,,,
,Dr. Darren Smith,,,,,,,,,,,,
"North Shore University Hospital,Good Samaritan Hospital Medical Center,Syosset Hospital,The New York Eye and Ear Infirmary,Southside Hospital,Plainview Hospital,Lenox Hill Hospital,Huntington Hospital,Long Island Jewish Medical Center","Dr. Samara Churgin, MD, FACS","Plastic Surgeon, Surgeon","The New York Eye and Ear Infirmary, Fellowship in Cosmetic Surgery,Medical School - George Washington University, Doctor of Medicine,Cleveland Clinic, Residency in Plastic and Reconstructive Surgery,University of Pennsylvania (Bachelor's),New York University Elaine A. and Kenneth G. Langone Medical Center, Residency in General Surgery,Cleveland Clinic (Breast Surgery)",Female,,"English,Spanish",1356518286,"5,4,5",5,"Samara S. Churgin, MD","400 West Main St,, ,Suite 120,825 Northern Blvd,, ,Suite 300,460 Park Ave","Babylon,NY,11702,Great Neck,NY,11021,Manhattan,NY,10022",icon-speedy-response
,Dr. Lloyd D. Landsman,,,,,,,,,,,,
American Board of Plastic Surgery,"Dr. Christopher Johnson, MD",Plastic Surgeon,"Escuela de Medicina - Harvard University, Doctor of Medicine,University of Massachusetts, Fellowship in Plastic Surgery",Male,,"Ruso,Swahili,Inglés,Francés,Español",1477794105,"4,4,4",4,"Christopher Johnson, MD, MSc, FACS","22 W 48th St,, ,Suite 300,585 Schenectady Ave,, ,Clinic G","New York,NY,10036,Brooklyn,NY,11203",icon-rapid-registration
,Dr. Norman Bakshandeh,,,,,,,,,,,,
,Dr. Craig Baldenhofer,,,,,,,,,,,,
"Hackensack University Medical Center,New York-Presbyterian Hospital / Weill Cornell Medical Center,The Mount Sinai Hospital,The New York Eye and Ear Infirmary","Dr. Ulysses Scarpidis, MD",Plastic Surgeon,"Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine",Male,,English,1205004603,"5,5,5",5,Scarpidis Aesthetics - New York Plastic Surgery,"200 W 57th St,, ,Suite 508","New York,NY,10019","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Board of Plastic Surgery,"Dr. Luis Cenedese, MD, FACS",Plastic Surgeon,"The Mount Sinai Hospital, Residency in Plastic and Reconstructive Surgery,State University of New York, Downstate Medical Center (PhD),Thomas Jefferson University, Fellowship in Hand and Reconstructive Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,Beth Israel Medical Center (Residency),Columbia University (Bachelor’s)",Male,,English,1316070451,"4.5,4.5,5",4.5,"Luis Cenedese, MD","30 Central Park South,, ,Suite 1 C-D,1021 Avenue Z","New York,NY,10019,Brooklyn,NY,11235","icon-see-you-again,icon-speedy-response"
,Dr. Finny George,,,,,,,,,,,,
"Saint Francis Hospital,South Nassau Communities Hospital,St. Joseph Hospital,Flushing Hospital Medical Center,New York Hospital Queens,Winthrop-University Hospital","Dr. Finny George, MD",Plastic Surgeon,"Medical School - State University of New York, Upstate Medical University, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center (Fellowship),Montefiore Medical Center, Albert Einstein College of Medicine of Yeshiva University, Residency in Plastic Surgery,New York Medical College (Residency)",Male,,English,1033477377,"5,4.5,5",5,Long Island Plastic Surgical Group,"999 Franklin Avenue,1111 Park Avenue,2200 Northern Blvd,, ,Suite 201,330 9th Street","Garden City,NY,11530,New York,NY,10128,Greenvale,NY,11548,Brooklyn,NY,11215","icon-see-you-again,icon-rapid-registration"
Saint Luke's-Roosevelt Hospital Center,"Dr. Sejal Shah, MD",Dermatologist,"Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine,Saint Luke's-Roosevelt Hospital Center (Internship),Saint Luke's-Roosevelt Hospital Center (Residency)",Female,,English,1255594008,"4.5,5,4.5",4.5,"Sejal Shah, MD","225 Broadway,, ,Suite 1610","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Lyubov Avshalumova,,,,,,,,,,,,
